Horodateur,Niveau scolaire,Quelle est votre moyenne actuelle ?,Combien de fois avez-vous redoublé ?,Combien d'heures consacrez-vous à la révision par jour ? ,Préférez-vous étudier seul(e) ou en groupe ? ,"Quels types de documents ou de matériaux, révisez-vous le plus souvent ?",Quels sont vos environnements de révision préférés ?,Quelle est votre méthode de prise de notes pendant la révision ?,À quelle fréquence relisez-vous vos notes après les avoir prises ?,Comment gérez-vous les distractions pendant la révision ? ,Combien de pauses prenez-vous pendant une session de révision d'une heure ?,Comment évaluez-vous votre niveau de concentration pendant la révision ?
05/03/2024 22:29:14,Enseignement supérieur,12 à 14,Deux fois,Plus de 3 heures,Les deux,Livres/textes académiques,Bibliothèque,Tous,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Très concentré(e)
05/03/2024 22:33:35,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
05/03/2024 22:33:37,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Salon,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Peu concentré(e)
05/03/2024 22:34:41,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
05/03/2024 22:37:54,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
05/03/2024 23:10:34,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Articles de recherche,Café,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 07:01:33,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,En groupe,Livres/textes académiques,Tous,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Très concentré(e)
06/03/2024 08:53:48,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
06/03/2024 09:02:06,Enseignement supérieur,Moins de 10,Aucun,1 à 2 heures,En groupe,,Tous,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Moyennement concentré(e)
06/03/2024 09:05:20,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Articles de recherche,Bibliothèque,Prise de notes manuscrites,Souvent,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
06/03/2024 09:10:22,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Très concentré(e)
06/03/2024 09:15:09,Enseignement supérieur,12 à 14,Une fois,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 09:30:39,Enseignement supérieur,Plus de 14,Deux fois,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 09:34:29,Enseignement supérieur,10 à 12,Deux fois,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Peu concentré(e)
06/03/2024 09:35:45,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Très concentré(e)
06/03/2024 09:50:59,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Peu concentré(e)
06/03/2024 09:53:26,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Peu concentré(e)
06/03/2024 10:03:04,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes sur un ordinateur/tablette,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Peu concentré(e)
06/03/2024 10:07:16,Enseignement supérieur,Plus de 14,Une fois,2 à 3 heures,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,utilisation de techniques de concentration (comme la méthode Pomodoro),1 pause,Moyennement concentré(e)
06/03/2024 10:18:43,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,En groupe,Exercices,Tous,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
06/03/2024 10:39:25,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 10:51:44,Enseignement supérieur,12 à 14,Une fois,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 11:15:55,Enseignement supérieur,Plus de 14,Une fois,Moins d'une heure,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
06/03/2024 11:43:11,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 11:49:06,Enseignement supérieur,10 à 12,Une fois,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes sur un ordinateur/tablette,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 12:33:57,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes sur un ordinateur/tablette,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 12:34:24,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Notes de cours,Bibliothèque,Enregistrement vidéo/audio,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
06/03/2024 12:41:05,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Peu concentré(e)
06/03/2024 12:44:27,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
06/03/2024 13:00:20,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes sur un ordinateur/tablette,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
06/03/2024 13:07:34,Enseignement supérieur,Plus de 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,Souvent,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 13:13:11,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Souvent,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
06/03/2024 13:16:36,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 13:43:31,Enseignement supérieur,12 à 14,Une fois,Moins d'une heure,En groupe,Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
06/03/2024 14:03:11,Enseignement supérieur,10 à 12,Une fois,Moins d'une heure,En groupe,pdf(Cours/TD),Café,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Très concentré(e)
06/03/2024 14:04:33,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
06/03/2024 14:05:21,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Seul(e),En ligne,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
06/03/2024 15:01:16,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
06/03/2024 16:21:26,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,En groupe,Articles de recherche,Café,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 17:17:57,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Notes de cours,Chambre,Enregistrement vidéo/audio,Jamais,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
06/03/2024 17:32:50,Enseignement supérieur,Plus de 14,Aucun,Moins d'une heure,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 17:43:00,Enseignement supérieur,10 à 12,Une fois,Moins d'une heure,En groupe,"YouTube , Google",Café,Prise de notes manuscrites,Rarement,utilisation de techniques de concentration (comme la méthode Pomodoro),Aucune pause,Peu concentré(e)
06/03/2024 17:55:32,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,En groupe,Notes de cours,Bibliothèque,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Pas du tout concentré(e)
06/03/2024 18:17:41,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,En groupe,Notes de cours,Café,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Peu concentré(e)
06/03/2024 18:34:21,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 18:54:08,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Notes de cours,Café,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Moyennement concentré(e)
06/03/2024 19:31:51,Enseignement supérieur,Plus de 14,Aucun,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,1 pause,Moyennement concentré(e)
06/03/2024 20:04:49,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
06/03/2024 20:41:26,Enseignement supérieur,10 à 12,Deux fois,1 à 2 heures,Seul(e),Articles de recherche,Café,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Très concentré(e)
06/03/2024 20:57:00,Enseignement supérieur,10 à 12,Trois fois ou plus,Moins d'une heure,Seul(e),Livres/textes académiques,Café,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Peu concentré(e)
06/03/2024 21:23:41,Enseignement supérieur,Moins de 10,Deux fois,Moins d'une heure,Seul(e),Explication sur YouTube,Tous,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Moyennement concentré(e)
06/03/2024 22:10:05,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,Les deux,Vidéos YouTube,Café,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,Aucune pause,Très concentré(e)
07/03/2024 00:00:41,Enseignement supérieur,Plus de 14,Aucun,Moins d'une heure,En groupe,Livres/textes académiques,Chambre,Prise de notes sur un ordinateur/tablette,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
07/03/2024 07:38:42,Enseignement supérieur,10 à 12,Aucun,Moins d'une heure,Seul(e),Notes de cours,Café,Prise de notes sur un ordinateur/tablette,Jamais,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
07/03/2024 08:08:54,Enseignement supérieur,Plus de 14,Aucun,1 à 2 heures,Seul(e),Articles de recherche,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Peu concentré(e)
07/03/2024 08:16:27,Enseignement supérieur,12 à 14,Aucun,Moins d'une heure,Les deux,Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
07/03/2024 21:35:57,Lycée,12 à 14,Aucun,Moins d'une heure,Les deux,Articles de recherche,Bibliothèque,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
07/03/2024 21:36:52,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,En groupe,Articles de recherche,Tous,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
07/03/2024 22:52:33,Enseignement supérieur,10 à 12,Une fois,1 à 2 heures,Seul(e),Notes de cours,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
07/03/2024 22:53:14,Enseignement supérieur,12 à 14,Une fois,2 à 3 heures,En groupe,Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,utilisation de techniques de concentration (comme la méthode Pomodoro),2 pauses,Moyennement concentré(e)
09/03/2024 18:40:30,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,En groupe,Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
09/03/2024 18:59:02,Enseignement supérieur,12 à 14,Deux fois,Moins d'une heure,Seul(e),Articles de recherche,Bibliothèque,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Moyennement concentré(e)
09/03/2024 21:38:15,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Très concentré(e)
24/04/2024 07:46:11,Enseignement supérieur,12 à 14,Aucun,1 à 2 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
24/04/2024 07:47:18,Enseignement supérieur,12 à 14,Deux fois,Moins d'une heure,Les deux,Notes de cours,Bibliothèque,Prise de notes manuscrites,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
24/04/2024 07:48:19,Enseignement supérieur,Moins de 10,Une fois,Moins d'une heure,Seul(e),Notes de cours,Tous,Prise de notes manuscrites,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 07:48:55,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Tous,Prise de notes sur un ordinateur/tablette,Jamais,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 07:51:56,Enseignement supérieur,Moins de 10,Deux fois,Moins d'une heure,Seul(e),Notes de cours,Tous,Prise de notes manuscrites,Jamais,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Peu concentré(e)
24/04/2024 07:53:21,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Tous,Prise de notes sur un ordinateur/tablette,Rarement,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",3 pauses ou plus,Peu concentré(e)
24/04/2024 07:54:51,Enseignement supérieur,Moins de 10,Deux fois,1 à 2 heures,Seul(e),Notes de cours,Tous,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Moyennement concentré(e)
24/04/2024 07:59:37,Enseignement supérieur,,Une fois,1 à 2 heures,Seul(e),Livres/textes académiques,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
24/04/2024 08:00:12,Enseignement supérieur,12 à 14,Deux fois,1 à 2 heures,Seul(e),Livres/textes académiques,Bibliothèque,Tous,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Moyennement concentré(e)
24/04/2024 08:05:23,Enseignement supérieur,Moins de 10,Une fois,1 à 2 heures,Seul(e),Notes de cours,Tous,Prise de notes manuscrites,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:08:25,Enseignement supérieur,10 à 12,Une fois,2 à 3 heures,Seul(e),Livres/textes académiques,Café,Tous,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:11:38,Enseignement supérieur,,Une fois,2 à 3 heures,Seul(e),Notes de cours,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
24/04/2024 08:12:23,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,Les deux,Livres/textes académiques,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:14:59,Enseignement supérieur,Moins de 10,Une fois,Moins d'une heure,Seul(e),Notes de cours,Tous,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:15:26,Enseignement supérieur,Moins de 10,Aucun,1 à 2 heures,Les deux,Notes de cours,Tous,Prise de notes sur un ordinateur/tablette,De temps en temps,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Moyennement concentré(e)
24/04/2024 08:16:33,Enseignement supérieur,,Aucun,,En groupe,Livres/textes académiques,Café,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
24/04/2024 08:17:08,Enseignement supérieur,,Une fois,,Les deux,Notes de cours,Bibliothèque,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,2 pauses,Peu concentré(e)
24/04/2024 08:17:33,Enseignement supérieur,10 à 12,Une fois,1 à 2 heures,Seul(e),Notes de cours,Café,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:18:28,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,Seul(e),Livres/textes académiques,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:20:27,Enseignement supérieur,Moins de 10,Deux fois,Moins d'une heure,Seul(e),Livres/textes académiques,Tous,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:23:50,Enseignement supérieur,10 à 12,Aucun,2 à 3 heures,Les deux,Notes de cours,Café,Prise de notes manuscrites,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:24:27,Enseignement supérieur,10 à 12,Aucun,2 à 3 heures,En groupe,Notes de cours,Café,Prise de notes manuscrites,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Très concentré(e)
24/04/2024 08:26:17,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:26:55,Enseignement supérieur,12 à 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Bibliothèque,Prise de notes manuscrites,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Très concentré(e)
24/04/2024 08:30:44,Enseignement supérieur,12 à 14,Une fois,2 à 3 heures,Seul(e),Notes de cours,Bibliothèque,Prise de notes manuscrites,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",2 pauses,Très concentré(e)
24/04/2024 08:31:58,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:32:37,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Seul(e),Livres/textes académiques,Chambre,Tous,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Très concentré(e)
24/04/2024 08:42:58,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Café,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:44:21,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Livres/textes académiques,Café,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:44:55,Enseignement supérieur,,Une fois,2 à 3 heures,Les deux,Livres/textes académiques,Tous,Tous,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Très concentré(e)
24/04/2024 08:46:27,Enseignement supérieur,10 à 12,Aucun,1 à 2 heures,En groupe,Notes de cours,Chambre,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:49:33,Enseignement supérieur,10 à 12,Une fois,1 à 2 heures,En groupe,Livres/textes académiques,Café,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:50:34,Enseignement supérieur,Plus de 14,Une fois,1 à 2 heures,Seul(e),Livres/textes académiques,Chambre,Prise de notes manuscrites,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Moyennement concentré(e)
24/04/2024 08:52:16,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Livres/textes académiques,Café,Enregistrement vidéo/audio,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Pas du tout concentré(e)
24/04/2024 08:53:56,Enseignement supérieur,10 à 12,Aucun,2 à 3 heures,En groupe,Notes de cours,Chambre,Prise de notes sur un ordinateur/tablette,De temps en temps,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",Aucune pause,Moyennement concentré(e)
24/04/2024 08:55:01,Enseignement supérieur,Moins de 10,Aucun,Moins d'une heure,Seul(e),Notes de cours,Chambre,Prise de notes sur un ordinateur/tablette,Rarement,Acceptation des distractions et poursuite de la révision malgré celles-ci,3 pauses ou plus,Peu concentré(e)
24/04/2024 08:55:36,Enseignement supérieur,Plus de 14,Aucun,2 à 3 heures,Les deux,Livres/textes académiques,Chambre,Tous,Souvent,"Élimination des distractions (éteindre téléphone, fermer les fenêtres, etc.)",1 pause,Très concentré(e)